Model,DPO3054
Firmware Version,2.07

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-07
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Label,
TIME,CH1
-1.0532e-06,0.0044
-1.0528e-06,0.0056
-1.0524e-06,0.0192
-1.0520e-06,0.0176
-1.0516e-06,0.0084
-1.0512e-06,0.008
-1.0508e-06,-0.002
-1.0504e-06,-0.012
-1.0500e-06,-0.0124
-1.0496e-06,-0.0196
-1.0492e-06,-0.0196
-1.0488e-06,-0.0044
-1.0484e-06,-0.0008
-1.0480e-06,0.0044
-1.0476e-06,0.0184
-1.0472e-06,0.0172
-1.0468e-06,0.0132
-1.0464e-06,0.018
-1.0460e-06,0.0092
-1.0456e-06,-0.0004
-1.0452e-06,-0.0016
-1.0448e-06,-0.014
-1.0444e-06,-0.0224
-1.0440e-06,-0.0156
-1.0436e-06,-0.0152
-1.0432e-06,-0.0068
-1.0428e-06,0.0104
-1.0424e-06,0.01
-1.0420e-06,0.0072
-1.0416e-06,0.0176
-1.0412e-06,0.0136
-1.0408e-06,0.0052
-1.0404e-06,0.0044
-1.0400e-06,-0.006
-1.0396e-06,-0.0124
-1.0392e-06,-0.01
-1.0388e-06,-0.014
-1.0384e-06,-0.0096
-1.0380e-06,0.0048
-1.0376e-06,0.0056
-1.0372e-06,0.0064
-1.0368e-06,0.0184
-1.0364e-06,0.016
-1.0360e-06,0.0088
-1.0356e-06,0.0088
-1.0352e-06,-0.0024
-1.0348e-06,-0.0132
-1.0344e-06,-0.014
-1.0340e-06,-0.0236
-1.0336e-06,-0.0216
-1.0332e-06,-0.0064
-1.0328e-06,-0.0036
-1.0324e-06,0.0024
-1.0320e-06,0.018
-1.0316e-06,0.0164
-1.0312e-06,0.0148
-1.0308e-06,0.0212
-1.0304e-06,0.012
-1.0300e-06,0.0028
-1.0296e-06,0.0008
-1.0292e-06,-0.0124
-1.0288e-06,-0.0184
-1.0284e-06,-0.014
-1.0280e-06,-0.0172
-1.0276e-06,-0.0088
-1.0272e-06,0.0076
-1.0268e-06,0.0052
-1.0264e-06,0.0072
-1.0260e-06,0.0188
-1.0256e-06,0.0128
-1.0252e-06,0.0068
-1.0248e-06,0.0056
-1.0244e-06,-0.0072
-1.0240e-06,-0.0128
-1.0236e-06,-0.0104
-1.0232e-06,-0.0156
-1.0228e-06,-0.0108
-1.0224e-06,0.004
-1.0220e-06,0.002
-1.0216e-06,0.0064
-1.0212e-06,0.0212
-1.0208e-06,0.0184
-1.0204e-06,0.0124
-1.0200e-06,0.0104
-1.0196e-06,-0.0024
-1.0192e-06,-0.012
-1.0188e-06,-0.0128
-1.0184e-06,-0.0216
-1.0180e-06,-0.0196
-1.0176e-06,-0.0072
-1.0172e-06,-0.0068
-1.0168e-06,0.0016
-1.0164e-06,0.0176
-1.0160e-06,0.0128
-1.0156e-06,0.0132
-1.0152e-06,0.018
-1.0148e-06,0.0072
-1.0144e-06,0.002
-1.0140e-06,-0.0004
-1.0136e-06,-0.0128
-1.0132e-06,-0.016
-1.0128e-06,-0.0116
-1.0124e-06,-0.0164
-1.0120e-06,-0.006
-1.0116e-06,0.012
-1.0112e-06,0.0104
-1.0108e-06,0.0104
-1.0104e-06,0.0172
-1.0100e-06,0.0104
-1.0096e-06,0.0052
-1.0092e-06,0.0024
-1.0088e-06,-0.0096
-1.0084e-06,-0.014
-1.0080e-06,-0.0132
-1.0076e-06,-0.0196
-1.0072e-06,-0.0124
-1.0068e-06,0.0024
-1.0064e-06,0.0044
-1.0060e-06,0.0108
-1.0056e-06,0.0208
-1.0052e-06,0.018
-1.0048e-06,0.0144
-1.0044e-06,0.01
-1.0040e-06,-0.0036
-1.0036e-06,-0.0084
-1.0032e-06,-0.0108
-1.0028e-06,-0.0232
-1.0024e-06,-0.02
-1.0020e-06,-0.0072
-1.0016e-06,-0.006
-1.0012e-06,0.0052
-1.0008e-06,0.02
-1.0004e-06,0.0152
-1.0000e-06,0.0136
-9.9960e-07,0.016
-9.9920e-07,0.0052
-9.9880e-07,-0.0004
-9.9840e-07,-0.0032
-9.9800e-07,-0.0156
-9.9760e-07,-0.0176
-9.9720e-07,-0.0132
-9.9680e-07,-0.0164
-9.9640e-07,-0.0048
-9.9600e-07,0.0116
-9.9560e-07,0.0092
-9.9520e-07,0.0128
-9.9480e-07,0.0196
-9.9440e-07,0.0112
-9.9400e-07,0.0076
-9.9360e-07,0.0036
-9.9320e-07,-0.0112
-9.9280e-07,-0.0124
-9.9240e-07,-0.01
-9.9200e-07,-0.0172
-9.9160e-07,-0.0096
-9.9120e-07,0.004
-9.9080e-07,0.0028
-9.9040e-07,0.0104
-9.9000e-07,0.0184
-9.8960e-07,0.0136
-9.8920e-07,0.0124
-9.8880e-07,0.0092
-9.8840e-07,-0.006
-9.8800e-07,-0.0116
-9.8760e-07,-0.0136
-9.8720e-07,-0.024
-9.8680e-07,-0.0172
-9.8640e-07,-0.0044
-9.8600e-07,-0.0072
-9.8560e-07,0.0028
-9.8520e-07,0.0172
-9.8480e-07,0.016
-9.8440e-07,0.0216
-9.8400e-07,0.0228
-9.8360e-07,0.0096
-9.8320e-07,0.004
-9.8280e-07,-0.0004
-9.8240e-07,-0.0156
-9.8200e-07,-0.0168
-9.8160e-07,-0.0148
-9.8120e-07,-0.0212
-9.8080e-07,-0.01
-9.8040e-07,0.004
-9.8000e-07,0.0028
-9.7960e-07,0.0104
-9.7920e-07,0.0188
-9.7880e-07,0.0132
-9.7840e-07,0.0132
-9.7800e-07,0.0068
-9.7760e-07,-0.008
-9.7720e-07,-0.0084
-9.7680e-07,-0.0096
-9.7640e-07,-0.0188
-9.7600e-07,-0.0096
-9.7560e-07,0.0016
-9.7520e-07,0
-9.7480e-07,0.0084
-9.7440e-07,0.018
-9.7400e-07,0.0156
-9.7360e-07,0.016
-9.7320e-07,0.0104
-9.7280e-07,-0.0032
-9.7240e-07,-0.0084
-9.7200e-07,-0.0136
-9.7160e-07,-0.0248
-9.7120e-07,-0.0196
-9.7080e-07,-0.0096
-9.7040e-07,-0.0096
-9.7000e-07,0.004
-9.6960e-07,0.0164
-9.6920e-07,0.0144
-9.6880e-07,0.0196
-9.6840e-07,0.0184
-9.6800e-07,0.008
-9.6760e-07,0.0084
-9.6720e-07,0.0016
-9.6680e-07,-0.0144
-9.6640e-07,-0.0148
-9.6600e-07,-0.0144
-9.6560e-07,-0.02
-9.6520e-07,-0.0072
-9.6480e-07,0.0068
-9.6440e-07,0.0052
-9.6400e-07,0.0104
-9.6360e-07,0.014
-9.6320e-07,0.0084
-9.6280e-07,0.0108
-9.6240e-07,0.0052
-9.6200e-07,-0.0084
-9.6160e-07,-0.0084
-9.6120e-07,-0.0116
-9.6080e-07,-0.02
-9.6040e-07,-0.0096
-9.6000e-07,0.002
-9.5960e-07,0.002
-9.5920e-07,0.0116
-9.5880e-07,0.0176
-9.5840e-07,0.0136
-9.5800e-07,0.0156
-9.5760e-07,0.0104
-9.5720e-07,-0.0024
-9.5680e-07,-0.004
-9.5640e-07,-0.012
-9.5600e-07,-0.0256
-9.5560e-07,-0.0184
-9.5520e-07,-0.01
-9.5480e-07,-0.0084
-9.5440e-07,0.0056
-9.5400e-07,0.0144
-9.5360e-07,0.0112
-9.5320e-07,0.0152
-9.5280e-07,0.0128
-9.5240e-07,0.0044
-9.5200e-07,0.0068
-9.5160e-07,-0.0004
-9.5120e-07,-0.0136
-9.5080e-07,-0.0116
-9.5040e-07,-0.012
-9.5000e-07,-0.016
-9.4960e-07,-0.0004
-9.4920e-07,0.0116
-9.4880e-07,0.0092
-9.4840e-07,0.0124
-9.4800e-07,0.0132
-9.4760e-07,0.0072
-9.4720e-07,0.0072
-9.4680e-07,-0.0004
-9.4640e-07,-0.0128
-9.4600e-07,-0.0108
-9.4560e-07,-0.014
-9.4520e-07,-0.0212
-9.4480e-07,-0.0076
-9.4440e-07,0.0016
-9.4400e-07,0.002
-9.4360e-07,0.0112
-9.4320e-07,0.0164
-9.4280e-07,0.0136
-9.4240e-07,0.018
-9.4200e-07,0.0104
-9.4160e-07,-0.0032
-9.4120e-07,-0.0044
-9.4080e-07,-0.0124
-9.4040e-07,-0.0228
-9.4000e-07,-0.0128
-9.3960e-07,-0.008
-9.3920e-07,-0.0104
-9.3880e-07,0.0024
-9.3840e-07,0.0108
-9.3800e-07,0.0108
-9.3760e-07,0.0196
-9.3720e-07,0.0184
-9.3680e-07,0.0096
-9.3640e-07,0.0088
-9.3600e-07,-0.0008
-9.3560e-07,-0.0144
-9.3520e-07,-0.0108
-9.3480e-07,-0.0152
-9.3440e-07,-0.022
-9.3400e-07,-0.0088
-9.3360e-07,0
-9.3320e-07,0.0008
-9.3280e-07,0.012
-9.3240e-07,0.0168
-9.3200e-07,0.014
-9.3160e-07,0.0176
-9.3120e-07,0.008
-9.3080e-07,-0.0048
-9.3040e-07,-0.0048
-9.3000e-07,-0.0156
-9.2960e-07,-0.0268
-9.2920e-07,-0.0172
-9.2880e-07,-0.0104
-9.2840e-07,-0.0064
-9.2800e-07,0.008
-9.2760e-07,0.0136
-9.2720e-07,0.0156
-9.2680e-07,0.0228
-9.2640e-07,0.014
-9.2600e-07,0.0032
-9.2560e-07,0.0032
-9.2520e-07,-0.0072
-9.2480e-07,-0.0204
-9.2440e-07,-0.0164
-9.2400e-07,-0.016
-9.2360e-07,-0.0164
-9.2320e-07,-0.0028
-9.2280e-07,0.0052
-9.2240e-07,0.0088
-9.2200e-07,0.0176
-9.2160e-07,0.0136
-9.2120e-07,0.0064
-9.2080e-07,0.0092
-9.2040e-07,-0.0012
-9.2000e-07,-0.0148
-9.1960e-07,-0.014
-9.1920e-07,-0.0204
-9.1880e-07,-0.0236
-9.1840e-07,-0.0072
-9.1800e-07,0.0024
-9.1760e-07,0.008
-9.1720e-07,0.0204
-9.1680e-07,0.0236
-9.1640e-07,0.0224
-9.1600e-07,0.0244
-9.1560e-07,0.0096
-9.1520e-07,-0.0064
-9.1480e-07,-0.0108
-9.1440e-07,-0.0224
-9.1400e-07,-0.0312
-9.1360e-07,-0.02
-9.1320e-07,-0.0136
-9.1280e-07,-0.0076
-9.1240e-07,0.0068
-9.1200e-07,0.012
-9.1160e-07,0.0172
-9.1120e-07,0.0244
-9.1080e-07,0.0144
-9.1040e-07,0.002
-9.1000e-07,0.0004
-9.0960e-07,-0.0124
-9.0920e-07,-0.024
-9.0880e-07,-0.0148
-9.0840e-07,-0.01
-9.0800e-07,-0.0052
-9.0760e-07,0.01
-9.0720e-07,0.0136
-9.0680e-07,0.0144
-9.0640e-07,0.0216
-9.0600e-07,0.0152
-9.0560e-07,0.008
-9.0520e-07,0.008
-9.0480e-07,-0.0068
-9.0440e-07,-0.0196
-9.0400e-07,-0.0184
-9.0360e-07,-0.0236
-9.0320e-07,-0.0236
-9.0280e-07,-0.0076
-9.0240e-07,0.0004
-9.0200e-07,0.0056
-9.0160e-07,0.0168
-9.0120e-07,0.0156
-9.0080e-07,0.0176
-9.0040e-07,0.0224
-9.0000e-07,0.0088
-8.9960e-07,-0.004
-8.9920e-07,-0.0036
-8.9880e-07,-0.014
-8.9840e-07,-0.02
-8.9800e-07,-0.01
-8.9760e-07,-0.0052
-8.9720e-07,-0.0012
-8.9680e-07,0.0112
-8.9640e-07,0.0132
-8.9600e-07,0.0172
-8.9560e-07,0.0216
-8.9520e-07,0.0068
-8.9480e-07,-0.0044
-8.9440e-07,-0.0072
-8.9400e-07,-0.0216
-8.9360e-07,-0.0268
-8.9320e-07,-0.0164
-8.9280e-07,-0.0148
-8.9240e-07,-0.0092
-8.9200e-07,0.0096
-8.9160e-07,0.0172
-8.9120e-07,0.02
-8.9080e-07,0.0228
-8.9040e-07,0.0108
-8.9000e-07,0.0036
-8.8960e-07,0.0052
-8.8920e-07,-0.0068
-8.8880e-07,-0.0148
-8.8840e-07,-0.0096
-8.8800e-07,-0.0144
-8.8760e-07,-0.0132
-8.8720e-07,0.0028
-8.8680e-07,0.0124
-8.8640e-07,0.0176
-8.8600e-07,0.0188
-8.8560e-07,0.0056
-8.8520e-07,0.0008
-8.8480e-07,0.0028
-8.8440e-07,-0.0104
-8.8400e-07,-0.0176
-8.8360e-07,-0.0112
-8.8320e-07,-0.0164
-8.8280e-07,-0.0176
-8.8240e-07,-0.004
-8.8200e-07,0.0008
-8.8160e-07,0.0092
-8.8120e-07,0.0192
-8.8080e-07,0.0152
-8.8040e-07,0.016
-8.8000e-07,0.0184
-8.7960e-07,0.0048
-8.7920e-07,-0.0008
-8.7880e-07,0
-8.7840e-07,-0.0136
-8.7800e-07,-0.0188
-8.7760e-07,-0.0136
-8.7720e-07,-0.0148
-8.7680e-07,-0.0084
-8.7640e-07,0.0056
-8.7600e-07,0.008
-8.7560e-07,0.0144
-8.7520e-07,0.0216
-8.7480e-07,0.012
-8.7440e-07,0.0072
-8.7400e-07,0.0076
-8.7360e-07,-0.0072
-8.7320e-07,-0.0136
-8.7280e-07,-0.012
-8.7240e-07,-0.02
-8.7200e-07,-0.018
-8.7160e-07,-0.0044
-8.7120e-07,0.0008
-8.7080e-07,0.0092
-8.7040e-07,0.0176
-8.7000e-07,0.0148
-8.6960e-07,0.0164
-8.6920e-07,0.0184
-8.6880e-07,0.002
-8.6840e-07,-0.0072
-8.6800e-07,-0.0072
-8.6760e-07,-0.016
-8.6720e-07,-0.0164
-8.6680e-07,-0.0064
-8.6640e-07,-0.004
-8.6600e-07,0.0016
-8.6560e-07,0.01
-8.6520e-07,0.0052
-8.6480e-07,0.0104
-8.6440e-07,0.0172
-8.6400e-07,0.0052
-8.6360e-07,-0.0012
-8.6320e-07,-0.0036
-8.6280e-07,-0.016
-8.6240e-07,-0.0184
-8.6200e-07,-0.0132
-8.6160e-07,-0.0128
-8.6120e-07,-0.004
-8.6080e-07,0.0072
-8.6040e-07,0.0072
-8.6000e-07,0.0144
-8.5960e-07,0.02
-8.5920e-07,0.0116
-8.5880e-07,0.012
-8.5840e-07,0.0132
-8.5800e-07,-0.002
-8.5760e-07,-0.01
-8.5720e-07,-0.0112
-8.5680e-07,-0.0208
-8.5640e-07,-0.0188
-8.5600e-07,-0.0096
-8.5560e-07,-0.006
-8.5520e-07,0.0048
-8.5480e-07,0.012
-8.5440e-07,0.008
-8.5400e-07,0.0144
-8.5360e-07,0.0184
-8.5320e-07,0.0056
-8.5280e-07,0
-8.5240e-07,-0.002
-8.5200e-07,-0.0152
-8.5160e-07,-0.0156
-8.5120e-07,-0.0088
-8.5080e-07,-0.0084
-8.5040e-07,0.0016
-8.5000e-07,0.0116
-8.4960e-07,0.0088
-8.4920e-07,0.0168
-8.4880e-07,0.0208
-8.4840e-07,0.0052
-8.4800e-07,0.0004
-8.4760e-07,0
-8.4720e-07,-0.014
-8.4680e-07,-0.0176
-8.4640e-07,-0.0164
-8.4600e-07,-0.0196
-8.4560e-07,-0.0108
-8.4520e-07,0.0012
-8.4480e-07,0.006
-8.4440e-07,0.018
-8.4400e-07,0.0236
-8.4360e-07,0.0128
-8.4320e-07,0.0124
-8.4280e-07,0.0132
-8.4240e-07,0
-8.4200e-07,-0.0052
-8.4160e-07,-0.0084
-8.4120e-07,-0.0212
-8.4080e-07,-0.0212
-8.4040e-07,-0.0132
-8.4000e-07,-0.0068
-8.3960e-07,0.008
-8.3920e-07,0.0156
-8.3880e-07,0.0092
-8.3840e-07,0.0144
-8.3800e-07,0.0148
-8.3760e-07,0.0008
-8.3720e-07,-0.0016
-8.3680e-07,-0.0028
-8.3640e-07,-0.014
-8.3600e-07,-0.0144
-8.3560e-07,-0.0104
-8.3520e-07,-0.01
-8.3480e-07,0.0028
-8.3440e-07,0.0112
-8.3400e-07,0.0088
-8.3360e-07,0.0196
-8.3320e-07,0.0216
-8.3280e-07,0.0076
-8.3240e-07,0.0028
-8.3200e-07,-0.0012
-8.3160e-07,-0.0168
-8.3120e-07,-0.0196
-8.3080e-07,-0.0184
-8.3040e-07,-0.0216
-8.3000e-07,-0.0112
-8.2960e-07,-0.0016
-8.2920e-07,0.0008
-8.2880e-07,0.0164
-8.2840e-07,0.0248
-8.2800e-07,0.0184
-8.2760e-07,0.0204
-8.2720e-07,0.018
-8.2680e-07,0.0016
-8.2640e-07,-0.0052
-8.2600e-07,-0.012
-8.2560e-07,-0.0244
-8.2520e-07,-0.0224
-8.2480e-07,-0.016
-8.2440e-07,-0.0124
-8.2400e-07,0.0028
-8.2360e-07,0.0116
-8.2320e-07,0.0132
-8.2280e-07,0.024
-8.2240e-07,0.024
-8.2200e-07,0.0092
-8.2160e-07,0.0028
-8.2120e-07,-0.006
-8.2080e-07,-0.02
-8.2040e-07,-0.0188
-8.2000e-07,-0.0156
-8.1960e-07,-0.014
-8.1920e-07,0.0004
-8.1880e-07,0.0068
-8.1840e-07,0.006
-8.1800e-07,0.0204
-8.1760e-07,0.0268
-8.1720e-07,0.0148
-8.1680e-07,0.0104
-8.1640e-07,-0.0024
-8.1600e-07,-0.0212
-8.1560e-07,-0.0248
-8.1520e-07,-0.0268
-8.1480e-07,-0.0284
-8.1440e-07,-0.0132
-8.1400e-07,-0.0004
-8.1360e-07,0.0056
-8.1320e-07,0.0232
-8.1280e-07,0.0296
-8.1240e-07,0.0248
-8.1200e-07,0.028
-8.1160e-07,0.0196
-8.1120e-07,-0.0004
-8.1080e-07,-0.0088
-8.1040e-07,-0.0176
-8.1000e-07,-0.03
-8.0960e-07,-0.0248
-8.0920e-07,-0.0192
-8.0880e-07,-0.014
-8.0840e-07,0.0048
-8.0800e-07,0.014
-8.0760e-07,0.0128
-8.0720e-07,0.0224
-8.0680e-07,0.0228
-8.0640e-07,0.0088
-8.0600e-07,0.0028
-8.0560e-07,-0.0056
-8.0520e-07,-0.0188
-8.0480e-07,-0.018
-8.0440e-07,-0.018
-8.0400e-07,-0.0152
-8.0360e-07,0.0004
-8.0320e-07,0.008
-8.0280e-07,0.0096
-8.0240e-07,0.0228
-8.0200e-07,0.0252
-8.0160e-07,0.0156
-8.0120e-07,0.0128
-8.0080e-07,0.002
-8.0040e-07,-0.0144
-8.0000e-07,-0.02
-7.9960e-07,-0.0264
-7.9920e-07,-0.0288
-7.9880e-07,-0.0144
-7.9840e-07,-0.0044
-7.9800e-07,0.0016
-7.9760e-07,0.0188
-7.9720e-07,0.0228
-7.9680e-07,0.0168
-7.9640e-07,0.0212
-7.9600e-07,0.0164
-7.9560e-07,0.004
-7.9520e-07,0
-7.9480e-07,-0.0124
-7.9440e-07,-0.024
-7.9400e-07,-0.0208
-7.9360e-07,-0.0176
-7.9320e-07,-0.0108
-7.9280e-07,0.0088
-7.9240e-07,0.012
-7.9200e-07,0.008
-7.9160e-07,0.0184
-7.9120e-07,0.0188
-7.9080e-07,0.008
-7.9040e-07,0.004
-7.9000e-07,-0.0052
-7.8960e-07,-0.0152
-7.8920e-07,-0.014
-7.8880e-07,-0.0128
-7.8840e-07,-0.006
-7.8800e-07,0.0132
-7.8760e-07,0.018
-7.8720e-07,0.0164
-7.8680e-07,0.0248
-7.8640e-07,0.022
-7.8600e-07,0.0108
-7.8560e-07,0.008
-7.8520e-07,-0.0028
-7.8480e-07,-0.0188
-7.8440e-07,-0.024
-7.8400e-07,-0.0324
-7.8360e-07,-0.034
-7.8320e-07,-0.0172
-7.8280e-07,-0.0072
-7.8240e-07,0.002
-7.8200e-07,0.0236
-7.8160e-07,0.0308
-7.8120e-07,0.0296
-7.8080e-07,0.0352
-7.8040e-07,0.0276
-7.8000e-07,0.0148
-7.7960e-07,0.0076
-7.7920e-07,-0.0072
-7.7880e-07,-0.0188
-7.7840e-07,-0.0184
-7.7800e-07,-0.0224
-7.7760e-07,-0.0204
-7.7720e-07,-0.0036
-7.7680e-07,0
-7.7640e-07,0.0008
-7.7600e-07,0.014
-7.7560e-07,0.0136
-7.7520e-07,0.0044
-7.7480e-07,0.0028
-7.7440e-07,-0.0076
-7.7400e-07,-0.0156
-7.7360e-07,-0.0124
-7.7320e-07,-0.0144
-7.7280e-07,-0.0108
-7.7240e-07,0.004
-7.7200e-07,0.0088
-7.7160e-07,0.0132
-7.7120e-07,0.0288
-7.7080e-07,0.0296
-7.7040e-07,0.02
-7.7000e-07,0.0152
-7.6960e-07,0.0004
-7.6920e-07,-0.0144
-7.6880e-07,-0.0188
-7.6840e-07,-0.0296
-7.6800e-07,-0.0316
-7.6760e-07,-0.0192
-7.6720e-07,-0.0152
-7.6680e-07,-0.0068
-7.6640e-07,0.0128
-7.6600e-07,0.0192
-7.6560e-07,0.0224
-7.6520e-07,0.028
-7.6480e-07,0.0196
-7.6440e-07,0.0096
-7.6400e-07,0.0044
-7.6360e-07,-0.01
-7.6320e-07,-0.018
-7.6280e-07,-0.0144
-7.6240e-07,-0.02
-7.6200e-07,-0.014
-7.6160e-07,0.004
-7.6120e-07,0.0064
-7.6080e-07,0.0088
-7.6040e-07,0.0216
-7.6000e-07,0.0196
-7.5960e-07,0.0108
-7.5920e-07,0.0072
-7.5880e-07,-0.0056
-7.5840e-07,-0.0152
-7.5800e-07,-0.0164
-7.5760e-07,-0.0224
-7.5720e-07,-0.0184
-7.5680e-07,-0.0032
-7.5640e-07,0.0004
-7.5600e-07,0.0072
-7.5560e-07,0.0228
-7.5520e-07,0.0244
-7.5480e-07,0.0192
-7.5440e-07,0.0172
-7.5400e-07,0.004
-7.5360e-07,-0.0072
-7.5320e-07,-0.0128
-7.5280e-07,-0.026
-7.5240e-07,-0.0264
-7.5200e-07,-0.0132
-7.5160e-07,-0.0088
-7.5120e-07,0.0004
-7.5080e-07,0.0172
-7.5040e-07,0.0168
-7.5000e-07,0.0168
-7.4960e-07,0.0224
-7.4920e-07,0.0128
-7.4880e-07,0.0036
-7.4840e-07,-0.0004
-7.4800e-07,-0.0152
-7.4760e-07,-0.0228
-7.4720e-07,-0.0188
-7.4680e-07,-0.0208
-7.4640e-07,-0.01
-7.4600e-07,0.0088
-7.4560e-07,0.0088
-7.4520e-07,0.0108
-7.4480e-07,0.022
-7.4440e-07,0.018
-7.4400e-07,0.012
-7.4360e-07,0.0088
-7.4320e-07,-0.0048
-7.4280e-07,-0.0132
-7.4240e-07,-0.014
-7.4200e-07,-0.0212
-7.4160e-07,-0.0152
-7.4120e-07,0
-7.4080e-07,0.0016
-7.4040e-07,0.0068
-7.4000e-07,0.018
-7.3960e-07,0.0164
-7.3920e-07,0.0148
-7.3880e-07,0.0132
-7.3840e-07,-0.0012
-7.3800e-07,-0.0108
-7.3760e-07,-0.0144
-7.3720e-07,-0.0244
-7.3680e-07,-0.0212
-7.3640e-07,-0.0068
-7.3600e-07,-0.004
-7.3560e-07,0.0052
-7.3520e-07,0.0196
-7.3480e-07,0.0184
-7.3440e-07,0.0188
-7.3400e-07,0.0212
-7.3360e-07,0.0096
-7.3320e-07,0.0012
-7.3280e-07,-0.0024
-7.3240e-07,-0.0152
-7.3200e-07,-0.0188
-7.3160e-07,-0.0164
-7.3120e-07,-0.0192
-7.3080e-07,-0.0092
-7.3040e-07,0.0072
-7.3000e-07,0.008
-7.2960e-07,0.012
-7.2920e-07,0.0188
-7.2880e-07,0.0124
-7.2840e-07,0.008
-7.2800e-07,0.0028
-7.2760e-07,-0.0096
-7.2720e-07,-0.012
-7.2680e-07,-0.0104
-7.2640e-07,-0.0176
-7.2600e-07,-0.01
-7.2560e-07,0.004
-7.2520e-07,0.0048
-7.2480e-07,0.0116
-7.2440e-07,0.0208
-7.2400e-07,0.0176
-7.2360e-07,0.0136
-7.2320e-07,0.01
-7.2280e-07,-0.0044
-7.2240e-07,-0.0112
-7.2200e-07,-0.0136
-7.2160e-07,-0.0236
-7.2120e-07,-0.0196
-7.2080e-07,-0.008
-7.2040e-07,-0.0072
-7.2000e-07,0.004
-7.1960e-07,0.0184
-7.1920e-07,0.0156
-7.1880e-07,0.0152
-7.1840e-07,0.0168
-7.1800e-07,0.006
-7.1760e-07,0.002
-7.1720e-07,-0.0008
-7.1680e-07,-0.0144
-7.1640e-07,-0.0144
-7.1600e-07,-0.012
-7.1560e-07,-0.0164
-7.1520e-07,-0.0048
-7.1480e-07,0.0116
-7.1440e-07,0.0092
-7.1400e-07,0.0116
-7.1360e-07,0.0172
-7.1320e-07,0.0104
-7.1280e-07,0.0076
-7.1240e-07,0.002
-7.1200e-07,-0.0112
-7.1160e-07,-0.012
-7.1120e-07,-0.012
-7.1080e-07,-0.0204
-7.1040e-07,-0.0112
-7.1000e-07,0.0028
-7.0960e-07,0.0032
-7.0920e-07,0.0104
-7.0880e-07,0.0196
-7.0840e-07,0.0156
-7.0800e-07,0.014
-7.0760e-07,0.0088
-7.0720e-07,-0.0024
-7.0680e-07,-0.0072
-7.0640e-07,-0.012
-7.0600e-07,-0.0228
-7.0560e-07,-0.0168
-7.0520e-07,-0.0064
-7.0480e-07,-0.0072
-7.0440e-07,0.002
-7.0400e-07,0.0136
-7.0360e-07,0.012
-7.0320e-07,0.0176
-7.0280e-07,0.0208
-7.0240e-07,0.0108
-7.0200e-07,0.008
-7.0160e-07,0.0016
-7.0120e-07,-0.0144
-7.0080e-07,-0.0168
-7.0040e-07,-0.016
-7.0000e-07,-0.0224
-6.9960e-07,-0.0112
-6.9920e-07,0.0024
-6.9880e-07,0.0012
-6.9840e-07,0.0076
-6.9800e-07,0.0172
-6.9760e-07,0.0168
-6.9720e-07,0.018
-6.9680e-07,0.0104
-6.9640e-07,-0.004
-6.9600e-07,-0.006
-6.9560e-07,-0.0088
-6.9520e-07,-0.0188
-6.9480e-07,-0.0112
-6.9440e-07,-0.002
-6.9400e-07,-0.0036
-6.9360e-07,0.0036
-6.9320e-07,0.0124
-6.9280e-07,0.0132
-6.9240e-07,0.0196
-6.9200e-07,0.0132
-6.9160e-07,-0.002
-6.9120e-07,-0.006
-6.9080e-07,-0.0124
-6.9040e-07,-0.0248
-6.9000e-07,-0.0184
-6.8960e-07,-0.0104
-6.8920e-07,-0.0092
-6.8880e-07,0.0024
-6.8840e-07,0.0136
-6.8800e-07,0.0144
-6.8760e-07,0.0216
-6.8720e-07,0.0224
-6.8680e-07,0.0132
-6.8640e-07,0.0104
-6.8600e-07,0.0012
-6.8560e-07,-0.014
-6.8520e-07,-0.0144
-6.8480e-07,-0.0168
-6.8440e-07,-0.0236
-6.8400e-07,-0.012
-6.8360e-07,0.0012
-6.8320e-07,0.0016
-6.8280e-07,0.01
-6.8240e-07,0.0168
-6.8200e-07,0.0128
-6.8160e-07,0.0156
-6.8120e-07,0.008
-6.8080e-07,-0.0052
-6.8040e-07,-0.0048
-6.8000e-07,-0.01
-6.7960e-07,-0.0188
-6.7920e-07,-0.0096
-6.7880e-07,-0.0012
-6.7840e-07,-0.0008
-6.7800e-07,0.0088
-6.7760e-07,0.0164
-6.7720e-07,0.016
-6.7680e-07,0.0192
-6.7640e-07,0.0124
-6.7600e-07,-0.002
-6.7560e-07,-0.004
-6.7520e-07,-0.01
-6.7480e-07,-0.022
-6.7440e-07,-0.0168
-6.7400e-07,-0.0112
-6.7360e-07,-0.0104
-6.7320e-07,0.0052
-6.7280e-07,0.016
-6.7240e-07,0.0108
-6.7200e-07,0.0104
-6.7160e-07,0.0052
-6.7120e-07,0
-6.7080e-07,0.0052
-6.7040e-07,-0.0012
-6.7000e-07,-0.0116
-6.6960e-07,-0.0056
-6.6920e-07,-0.0072
-6.6880e-07,-0.0112
-6.6840e-07,0.0068
-6.6800e-07,0.022
-6.6760e-07,0.0196
-6.6720e-07,0.0184
-6.6680e-07,0.012
-6.6640e-07,0
-6.6600e-07,-0.0008
-6.6560e-07,-0.0092
-6.6520e-07,-0.0212
-6.6480e-07,-0.0168
-6.6440e-07,-0.0196
